Start Date,End Date,Approving,Disapproving,Unsure/NoData
12/11/1952,12/16/1952,32,56,12
10/9/1952,10/14/1952,32,55,13
10/5/1952,10/10/1952,31,57,12
10/3/1952,10/8/1952,33,55,12
7/13/1952,7/18/1952,29,59,12
6/15/1952,6/20/1952,32,58,10
5/30/1952,6/4/1952,31,59,10
5/11/1952,5/16/1952,27,60,13
4/13/1952,4/18/1952,28,59,13
2/9/1952,2/14/1952,22,64,14
1/20/1952,1/25/1952,25,62,13
1/6/1952,1/11/1952,23,67,10
11/11/1951,11/16/1951,23,61,16
10/14/1951,10/19/1951,29,55,16
9/21/1951,9/26/1951,32,54,14
8/3/1951,8/8/1951,31,57,12
7/8/1951,7/13/1951,29,54,17
6/16/1951,6/21/1951,25,59,16
5/19/1951,5/24/1951,24,63,13
4/16/1951,4/21/1951,24,54,22
3/26/1951,3/31/1951,28,57,15
3/4/1951,3/9/1951,27,59,14
2/4/1951,2/9/1951,26,60,14
1/1/1951,1/5/1951,36,49,15
12/3/1950,12/8/1950,33,53,14
10/22/1950,10/27/1950,39,46,15
10/20/1950,10/25/1950,41,46,13
10/8/1950,10/13/1950,43,36,21
10/1/1950,10/6/1950,35,50,15
9/17/1950,9/22/1950,35,47,18
8/20/1950,8/25/1950,43,32,25
7/30/1950,8/4/1950,39,45,16
7/9/1950,7/14/1950,46,40,14
6/4/1950,6/9/1950,37,47,16
5/4/1950,5/9/1950,41,38,21
2/26/1950,3/3/1950,37,44,19
1/8/1950,1/13/1950,45,40,15
9/28/1949,10/2/1949,50,35,15
9/25/1949,9/30/1949,51,31,18
9/3/1949,9/8/1949,45,38,17
6/11/1949,6/17/1949,57,27,16
5/2/1949,5/8/1949,51,32,17
3/6/1949,3/11/1949,57,24,19
1/7/1949,1/12/1949,69,17,14
6/18/1948,6/24/1948,40,44,16
5/28/1948,6/2/1948,39,47,14
4/9/1948,4/14/1948,36,50,14
1/2/1948,1/7/1948,53,32,15
11/28/1947,12/2/1947,54,33,13
9/12/1947,9/17/1947,55,29,16
7/4/1947,7/9/1947,61,28,11
6/20/1947,6/25/1947,55,31,14
5/23/1947,5/28/1947,65,24,11
4/25/1947,4/30/1947,57,25,18
3/28/1947,4/2/1947,63,21,16
3/14/1947,3/19/1947,60,23,17
1/17/1947,1/22/1947,48,39,13
12/13/1946,12/18/1946,35,47,18
11/15/1946,11/21/1946,34,53,13
9/13/1946,9/18/1946,33,52,15
6/14/1946,6/19/1946,43,45,12
6/1/1946,6/6/1946,45,42,13
3/29/1946,4/3/1946,51,33,16
2/28/1946,3/5/1946,49,38,13
1/5/1946,1/10/1946,63,22,15
11/2/1945,11/7/1945,75,14,11
10/5/1945,10/10/1945,82,9,9
6/1/1945,6/5/1945,87,3,10
