Start Date,End Date,Approving,Disapproving,Unsure/NoData
11/08/1963,11/13/1963,58,30,12
10/11/1963,10/16/1963,58,29,13
09/12/1963,09/17/1963,56,29,15
08/15/1963,08/20/1963,62,26,12
07/18/1963,07/23/1963,61,27,12
06/21/1963,06/26/1963,61,26,13
05/23/1963,05/28/1963,64,24,12
05/08/1963,05/13/1963,65,23,12
05/02/1963,05/07/1963,64,25,11
04/04/1963,04/09/1963,66,21,13
03/08/1963,03/12/1963,67,20,13
02/07/1963,02/12/1963,70,18,12
1/11/1963,1/16/1963,74,14,12
12/13/1962,12/18/1962,76,13,11
11/16/1962,11/21/1962,74,14,12
10/19/1962,10/24/1962,61,25,14
09/20/1962,09/25/1962,63,22,15
08/23/1962,08/28/1962,67,20,13
07/26/1962,07/31/1962,66,23,11
06/28/1962,07/03/1962,69,19,12
05/31/1962,06/05/1962,71,19,10
05/03/1962,05/08/1962,74,16,10
04/06/1962,04/11/1962,77,13,10
03/08/1962,03/13/1962,79,12,9
02/08/1962,02/13/1962,78,11,11
01/11/1962,01/16/1962,79,10,11
12/7/1961,12/12/1961,77,11,12
11/17/1961,11/22/1961,79,9,12
10/19/1961,10/24/1961,77,12,11
09/21/1961,09/26/1961,79,10,11
08/24/1961,08/29/1961,76,12,12
07/27/1961,08/02/1961,75,12,13
06/23/1961,06/28/1961,72,14,14
05/28/1961,06/02/1961,74,11,15
05/17/1961,05/22/1961,75,10,15
05/04/1961,05/09/1961,77,9,14
04/28/1961,05/03/1961,82,5,13
04/06/1961,04/11/1961,78,6,16
03/10/1961,03/15/1961,73,7,20
2/10/1961,2/15/1961,72,6,22
