Start Date,End Date,Approving,Disapproving,Unsure/NoData
01/08/1993,01/11/1993,56,37,7
12/18/1992,12/20/1992,49,41,10
12/04/1992,12/06/1992,49,47,4
11/20/1992,11/22/1992,43,46,11
10/13/1992,10/15/1992,34,56,10
10/1/1992,10/3/1992,33,58,9
9/17/1992,9/20/1992,36,54,10
09/11/1992,9/15/1992,39,55,6
08/31/1992,09/02/1992,39,54,7
08/21/1992,08/22/1992,40,54,6
08/10/1992,08/12/1992,35,58,7
07/31/1992,08/02/1992,29,60,11
07/24/1992,07/26/1992,32,59,9
06/26/1992,06/30/1992,38,55,7
06/12/1992,06/14/1992,37,55,8
06/04/1992,06/07/1992,37,56,7
05/18/1992,05/20/1992,41,52,7
05/07/1992,05/10/1992,40,53,7
04/20/1992,04/22/1992,42,48,10
04/09/1992,04/12/1992,39,54,7
03/26/1992,03/29/1992,42,51,7
03/20/1992,03/22/1992,41,49,10
03/11/1992,03/12/1992,41,47,12
02/28/1992,03/01/1992,41,53,6
02/19/1992,02/20/1992,39,47,14
02/06/1992,02/09/1992,44,48,8
01/31/1992,02/02/1992,47,48,5
01/16/1992,01/19/1992,46,48,6
01/03/1992,01/06/1992,46,47,7
12/12/1991,12/15/1991,50,41,9
12/05/1991,12/08/1991,52,42,6
11/21/1991,11/24/1991,52,39,9
11/14/1991,11/17/1991,56,36,8
11/07/1991,11/10/1991,56,36,8
10/31/1991,11/03/1991,59,33,8
10/24/1991,10/27/1991,62,29,9
10/17/1991,10/20/1991,66,26,8
10/10/1991,10/13/1991,66,28,6
10/03/1991,10/06/1991,65,27,8
09/26/1991,09/29/1991,66,25,9
09/13/1991,09/15/1991,68,22,10
09/05/1991,09/08/1991,70,21,9
8/29/1991,9/3/1991,69,22,9
8/23/1991,8/25/1991,74,19,7
8/8/1991,8/11/1991,71,22,7
7/25/1991,7/28/1991,71,21,8
07/18/1991,07/21/1991,70,21,9
07/11/1991,07/14/1991,72,21,7
06/27/1991,06/30/1991,72,23,5
06/13/1991,06/16/1991,71,19,10
05/30/1991,06/02/1991,74,17,9
05/23/1991,05/26/1991,76,16,8
05/16/1991,05/19/1991,77,15,8
05/02/1991,05/05/1991,74,19,7
04/25/1991,04/28/1991,76,15,9
04/11/1991,04/14/1991,77,13,10
04/04/1991,04/06/1991,83,12,5
03/28/1991,03/30/1991,82,11,7
03/21/1991,03/24/1991,84,10,6
03/14/1991,03/17/1991,86,9,5
03/07/1991,03/10/1991,87,8,5
02/28/1991,03/03/1991,89,8,3
02/21/1991,02/24/1991,80,13,7
02/14/1991,02/17/1991,80,14,6
02/07/1991,02/10/1991,79,18,3
01/30/1991,02/02/1991,82,15,3
01/23/1991,01/26/1991,83,13,4
01/19/1991,01/22/1991,80,14,6
01/17/1991,01/20/1991,82,12,6
01/11/1991,01/13/1991,64,25,11
01/03/1991,01/06/1991,58,31,11
12/13/1990,12/16/1990,63,30,7
12/06/1990,12/09/1990,58,33,9
11/29/1990,12/02/1990,61,29,10
11/15/1990,11/18/1990,54,33,13
11/08/1990,11/11/1990,58,34,8
11/01/1990,11/04/1990,58,32,10
10/25/1990,10/28/1990,54,36,10
10/18/1990,10/21/1990,53,37,10
10/11/1990,10/14/1990,56,33,11
10/03/1990,10/04/1990,66,25,9
09/27/1990,09/30/1990,67,20,13
09/14/1990,09/16/1990,73,17,10
09/10/1990,09/11/1990,76,16,8
08/30/1990,09/02/1990,74,17,9
08/23/1990,08/26/1990,76,16,8
08/16/1990,08/19/1990,75,16,9
08/09/1990,08/12/1990,74,16,10
07/19/1990,7/22/1990,60,25,15
7/6/1990,7/8/1990,63,24,13
06/15/1990,06/17/1990,69,17,14
06/07/1990,06/10/1990,67,18,15
5/17/1990,05/20/1990,65,20,15
04/19/1990,4/22/1990,67,17,16
4/5/1990,4/8/1990,68,16,16
3/15/1990,3/18/1990,74,15,11
03/08/1990,3/11/1990,68,18,14
2/15/1990,2/18/1990,73,16,11
2/8/1990,2/11/1990,73,16,11
1/4/1990,1/7/1990,80,11,9
12/7/1989,12/10/1989,71,20,9
11/02/1989,11/05/1989,70,17,13
10/05/1989,10/08/1989,68,20,12
09/07/1989,09/10/1989,70,17,13
08/10/1989,08/13/1989,69,19,12
07/06/1989,07/09/1989,66,19,15
06/08/1989,06/11/1989,70,14,16
05/15/1989,05/18/1989,63,18,19
05/04/1989,05/07/1989,56,22,22
04/10/1989,04/16/1989,58,16,26
03/10/1989,03/13/1989,56,16,28
02/28/1989,03/02/1989,63,13,24
01/24/1989,01/26/1989,51,6,43
